Timestamp,GPU_0,GPU_1,GPU_2,GPU_3,GPU_4,GPU_5,GPU_6,GPU_7
1743558817,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558818,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558819,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558821,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558822,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558823,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558824,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558825,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558826,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558827,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558828,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558829,12679412,9568195,9500734,9467587,9411940,9290473,9574478,9432645
1743558831,12679413,9568197,9500736,9467589,9411942,9290474,9574479,9432647
1743558832,12679416,9568199,9500738,9467591,9411945,9290478,9574482,9432650
1743558833,12679419,9568202,9500741,9467594,9411947,9290480,9574485,9432652
1743558834,12679421,9568204,9500743,9467596,9411949,9290482,9574487,9432654
1743558835,12679845,9568639,9501201,9468042,9412399,9290940,9574952,9433106
1743558836,12680261,9569065,9501625,9468446,9412788,9291342,9575368,9433507
1743558837,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558838,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558840,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558841,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558842,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558843,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558844,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558845,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
1743558846,12680278,9569081,9501642,9468463,9412804,9291358,9575384,9433523
